Day,Rank,ArtistName,CoachellaGenre 
Friday ,1,The Weeknd,
Friday ,2,SZA,
Friday ,3,Kygo,
Friday ,4,Jamiroquai,
Friday ,5,St. Vincent ,
Friday ,6,the War on Drugs,
Friday ,7,VInce Staples,
Friday ,8,Soulwax,
Friday ,9,JEan-Michel Jarre,
Friday ,10,Daniel Caesar ,
Friday ,11,Kali Uchus ,
Friday ,12,Los Angeles Azules,
Friday ,13,Deorro,
Friday ,14,Maceo Plex,
Friday ,15,Alan Walker ,
Friday ,16,The Neighbourhood,
Friday ,17,Alison Wonderland,
Friday ,18,Kelela,
Friday ,19,Rezz,
Friday ,20,Bleachers,
Friday ,21,Black Coffee,
Friday ,22,SuperDuperKyle,
Friday ,23,Justin Martin,
Friday ,24,Belly,
Friday ,25,TroyBoi,
Friday ,26,Dreams,
Friday ,27,PerfumeGenius,
Friday ,28,PVRIS,
Friday ,29,Moses Sumney,
Friday ,30,Leon,
Friday ,31,Greta Van Fleet,
Friday ,32,Tank and the Bangas,
Friday ,33,Cash Cash,
Friday ,34,Whethan,
Friday ,35,Skip Marley ,
Friday ,36,Elohim,
Friday ,37,Detroit Love,
Friday ,38,Carpenter Brut,
Friday ,39,the Blaze,
Friday ,40,Knox Fortune,
Friday ,41,MHD ,
Friday ,42,Slow Magic ,
Friday ,43,Avalon Emerson,
Friday ,44,Fazerdaze,
Friday ,45,Mooon Boots,
Friday ,46,Hito,
Friday ,47,Helado Negro,
Friday ,48,the Buttertones,
Friday ,49,the regrettes,
Friday ,50,boogarins,
Friday ,51,the marias ,
Friday ,52,senor kino,
Saturday,1,Beyonce ,
Saturday,2,Haim,
Saturday,3,"Tyler, the Creator ",
Saturday,4,David Byrne ,
Saturday,5,alt-J,
Saturday,6,Post Malone,
Saturday,7,Fleet Foxes,
Saturday,8,Chromeo,
Saturday,9,Chic ,
Saturday,10,Nile Rodgers,
Saturday,11,B0rns,
Saturday,12,Lois the Child ,
Saturday,13,Angel Olsen ,
Saturday,14,Jungle ,
Saturday,15,blackbear,
Saturday,16,m0 ,
Saturday,17,Tash Sultana ,
Saturday,18,BrockHampton ,
Saturday,19,Marian Hill,
Saturday,20,Alina Baraz,
Saturday,21,First AId Kit,
Saturday,22,Snakehips,
Saturday,23,Highly suspect ,
Saturday,24,wizkid,
Saturday,25,jorja smith ,
Saturday,26,Alvvays,
Saturday,27,the black Madonna ,
Saturday,28,Tom misch ,
Saturday,29,Django Django ,
Saturday,30,X Japan ,
Saturday,31,Benjamin Booker,
Saturday,32,Flatbush Zombies,
Saturday,33,Ekali ,
Saturday,34,Yaeji ,
Saturday,35,Party Favor ,
Saturday,36,Big Thief ,
Saturday,37,Jason Bentley ,
Saturday,38,Oh Sees ,
Saturday,39,Sigrid ,
Saturday,40,Busy P ,
Saturday,41,the Bronx ,
Saturday,42,AC slater,
Saturday,43,sudan archives ,
Saturday,44,Jackmaster ,
Saturday,45,Otoboke beaver,
Saturday,46,chloe x Halle ,
Saturday,47,sir sly ,
Saturday,48,Hundred Waters ,
Saturday,49,Pachanga boys,
Saturday,50,Bedouin ,
Saturday,51,Cherry Glazerr ,
Saturday,52,Mild High Club ,
Saturday,53,priests ,
Saturday,54,Ron gallo ,
Saturday,55,Declan mckKenna ,
Saturday,56,Bane's world ,
Saturday,57,Kittens,
Sunday ,1,Eminem ,
Sunday ,2,Odesza ,
Sunday ,3,Portugal. the Man ,
Sunday ,4,Migos ,
Sunday ,5,A perfect Circle ,
Sunday ,6,Cardi B ,
Sunday ,7,Miguel,
Sunday ,8,King Krule ,
Sunday ,9,Illenium ,
Sunday ,10,Washington,
Sunday ,11,French Montana ,
Sunday ,12,6lack,
Sunday ,13,Vance Joy ,
Sunday ,14,Russ,
Sunday ,15,LANY ,
Sunday ,16,the Drums ,
Sunday ,17,AMine ,
Sunday ,18,Jessie Ware ,
Sunday ,19,Jamie Jones ,
Sunday ,20,Kamaiyah ,
Sunday ,21,San holo,
Sunday ,22,Fidlar ,
Sunday ,23,Dej Loaf ,
Sunday ,24,Petit Biscuit ,
Sunday ,25,Ibeyi ,
Sunday ,26,Lp Motor City Drum ensemble,
Sunday ,27,princess nokia ,
Sunday ,28,Aurora ,
Sunday ,29,noname ,
Sunday ,30,jacob banks ,
Sunday ,31,chris leibing,
Sunday ,32,Jidenna ,
Sunday ,33,Hayley Kiyoko ,
Sunday ,34,Barclay Crenshaw ,
Sunday ,35,Lion Babe ,
Sunday ,36,Giraffage ,
Sunday ,37,Talaboman,
Sunday ,38,THEY.,
Sunday ,39,cuco ,
Sunday ,40,Joseph Capriati,
Sunday ,41,Hannah Wants ,
Sunday ,42,Nothing but Theives ,
Sunday ,43,John Maus ,
Sunday ,44,Kolsch ,
Sunday ,45,Japenese Breakfast ,
Sunday ,46,MAgic Giant ,
Sunday ,47,Omar-S ,
Sunday ,48,Michael Mayer ,
Sunday ,49,Westide Gunn,
Sunday ,50,Conway,
Sunday ,51,Buscabulla ,
Sunday ,52,Peggy Gou ,
Sunday ,53,Snail Mail ,
Sunday ,54,Rolling Blackouts Coastal Fever,
Sunday ,55,B Boys,
Sunday ,56,the Delirians ,
